File,Label
PAEP-004139_noise.png,0
PAEP-000458_stretch.png,4
PAEP-004966_shift.png,1
PAEP-004845_noise.png,4
PAEP-004196_stretch.png,3
PAEP-000992.png,3
PAEP-002462_noise.png,1
PAEP-001666_speed.png,0
PAEP-001933.png,4
PAEP-004895_stretch.png,3
PAEP-004395_speed.png,4
PAEP-004660_stretch.png,0
PAEP-001317_shift.png,1
PAEP-003987.png,0
PAEP-003222_shift.png,5
PAEP-000673_stretch.png,2
PAEP-004263_speed.png,4
PAEP-002869_speed.png,1
PAEP-002555_stretch.png,2
PAEP-003286_shift.png,0
PAEP-002734_stretch.png,0
PAEP-001245_noise.png,2
PAEP-000041_shift.png,4
PAEP-001335.png,3
PAEP-001165.png,1
PAEP-004028_speed.png,4
PAEP-001024.png,0
PAEP-000294_shift.png,0
PAEP-002853.png,2
PAEP-000276_pitch.png,1
PAEP-001858_shift.png,4
PAEP-003833_noise.png,2
PAEP-004465_noise.png,3
PAEP-003732_pitch.png,5
PAEP-002126_pitch.png,4
PAEP-003953_shift.png,0
PAEP-000124_noise.png,0
PAEP-002983_stretch.png,1
PAEP-002179.png,2
PAEP-001579_stretch.png,1
PAEP-002253_stretch.png,0
PAEP-000304_noise.png,1
PAEP-002282_stretch.png,0
PAEP-003009_stretch.png,0
PAEP-004024.png,0
PAEP-000862_speed.png,4
PAEP-000944_shift.png,5
PAEP-004188_speed.png,0
PAEP-001804_pitch.png,4
PAEP-002648_stretch.png,1
PAEP-004844_pitch.png,5
PAEP-002724_stretch.png,4
PAEP-000374_noise.png,5
PAEP-002965_stretch.png,4
PAEP-001051_noise.png,4
PAEP-001847_pitch.png,4
PAEP-001304_shift.png,5
PAEP-001513_stretch.png,1
PAEP-003869_shift.png,1
PAEP-002055_speed.png,2
PAEP-000148_noise.png,3
PAEP-004065.png,2
PAEP-001583_noise.png,4
PAEP-001088_noise.png,5
PAEP-001402.png,3
PAEP-004733.png,2
PAEP-004285_shift.png,5
PAEP-000572_pitch.png,5
PAEP-002454_stretch.png,1
PAEP-004752_stretch.png,2
PAEP-003356_noise.png,5
PAEP-000717_shift.png,1
PAEP-002696_pitch.png,4
PAEP-003434_stretch.png,5
PAEP-003463_speed.png,5
PAEP-005021_pitch.png,1
PAEP-003699_noise.png,4
PAEP-001549_speed.png,2
PAEP-004068_shift.png,4
PAEP-003557_pitch.png,3
PAEP-001282_noise.png,4
PAEP-003893_shift.png,0
PAEP-005115_shift.png,1
PAEP-003444_noise.png,2
PAEP-000378_speed.png,2
PAEP-001046_stretch.png,5
PAEP-002199_stretch.png,5
PAEP-001904_shift.png,2
PAEP-003354_stretch.png,3
PAEP-003989_speed.png,3
PAEP-000651_shift.png,5
PAEP-004866_pitch.png,3
PAEP-000310.png,1
PAEP-001972_shift.png,4
PAEP-003996.png,4
PAEP-002704_noise.png,2
PAEP-000542_shift.png,1
PAEP-002223_pitch.png,0
PAEP-004664_noise.png,3
PAEP-004265_pitch.png,0
PAEP-000296_speed.png,3
PAEP-000684_shift.png,0
PAEP-004014.png,2
PAEP-000536.png,1
PAEP-002038_pitch.png,5
PAEP-001761_noise.png,2
PAEP-001567_pitch.png,1
PAEP-000705_stretch.png,1
PAEP-001036_noise.png,0
PAEP-001731_pitch.png,2
PAEP-001648_pitch.png,4
PAEP-000658_noise.png,1
PAEP-004078_noise.png,3
PAEP-005130_noise.png,5
PAEP-003338_speed.png,1
PAEP-001094_pitch.png,1
PAEP-004986.png,3
PAEP-003688_stretch.png,2
PAEP-003626_shift.png,5
PAEP-000650_speed.png,3
PAEP-000635_noise.png,0
PAEP-004857_noise.png,1
PAEP-000610_stretch.png,4
PAEP-001631_shift.png,5
PAEP-005187_pitch.png,3
PAEP-004357_noise.png,1
PAEP-001013.png,0
PAEP-004568_shift.png,0
PAEP-004692_shift.png,0
PAEP-001559_stretch.png,1
PAEP-003571_pitch.png,3
PAEP-002808_noise.png,2
PAEP-001286.png,3
PAEP-001469.png,4
PAEP-003978.png,5
PAEP-002101_pitch.png,0
PAEP-002348_speed.png,2
PAEP-001197.png,2
PAEP-001993_speed.png,5
PAEP-002360_stretch.png,2
PAEP-000021.png,2
PAEP-002698_noise.png,4
PAEP-004821_pitch.png,5
PAEP-000792_speed.png,5
PAEP-002347_noise.png,1
PAEP-003180_noise.png,1
PAEP-001002_pitch.png,0
PAEP-005064_stretch.png,3
PAEP-002756_stretch.png,4
PAEP-001545_noise.png,5
PAEP-001920_speed.png,1
PAEP-000564_pitch.png,2
PAEP-003808_speed.png,3
PAEP-002795_stretch.png,2
PAEP-002197_stretch.png,1
PAEP-002193_stretch.png,2
PAEP-000923_shift.png,4
PAEP-002815_speed.png,5
PAEP-004150.png,0
PAEP-004087_shift.png,3
PAEP-002733_shift.png,2
PAEP-003232_shift.png,3
PAEP-000157_speed.png,1
PAEP-001636_stretch.png,1
PAEP-005141.png,3
PAEP-003566_noise.png,5
PAEP-003519_shift.png,2
PAEP-002095_shift.png,0
PAEP-003794_noise.png,1
PAEP-004839_speed.png,4
PAEP-001495_pitch.png,4
PAEP-003058_speed.png,1
PAEP-000245_pitch.png,0
PAEP-003651.png,1
